image,ablation,bpp,payload_bytes,mse,psnr,ssim,kl_divergence,rs_detected,chi2_detected,spa_detected,mean_depth,extraction_verified
smooth_00007.png,no_pressure,0.4,982,0.019948,65.1317,0.999707,0.00002130,True,True,True,1.0101,True
smooth_00008.png,full_system,0.05,122,0.002721,73.7833,0.999960,0.00000067,False,True,True,1.0219,True
smooth_00008.png,full_system,0.1,245,0.005249,70.9300,0.999923,0.00000176,False,True,True,1.0219,True
smooth_00008.png,full_system,0.2,491,0.010249,68.0241,0.999849,0.00000471,False,True,True,1.0219,True
smooth_00008.png,full_system,0.3,737,0.015244,66.2999,0.999776,0.00000904,False,True,True,1.0219,True
smooth_00008.png,full_system,0.4,982,0.020376,65.0397,0.999701,0.00001226,True,True,True,1.0219,True
smooth_00008.png,entropy_only,0.05,122,0.002533,74.0945,0.999963,0.00000093,False,True,True,1.0000,True
smooth_00008.png,entropy_only,0.1,245,0.005152,71.0107,0.999924,0.00000224,False,True,True,1.0000,True
smooth_00008.png,entropy_only,0.2,491,0.010406,67.9578,0.999847,0.00000496,False,True,True,1.0000,True
smooth_00008.png,entropy_only,0.3,737,0.015244,66.2999,0.999776,0.00000723,False,True,True,1.0000,True
smooth_00008.png,entropy_only,0.4,982,0.020315,65.0527,0.999702,0.00001297,True,True,True,1.0000,True
smooth_00008.png,edge_only,0.05,122,0.002640,73.9151,0.999961,0.00000128,False,True,True,1.6558,True
smooth_00008.png,edge_only,0.1,245,0.005127,71.0322,0.999924,0.00000294,False,True,True,1.6558,True
smooth_00008.png,edge_only,0.2,491,0.010101,68.0870,0.999851,0.00000679,False,True,True,1.6558,True
smooth_00008.png,edge_only,0.3,737,0.014893,66.4011,0.999780,0.00000849,True,True,True,1.6558,True
smooth_00008.png,edge_only,0.4,982,0.019847,65.1539,0.999707,0.00001241,True,True,True,1.6558,True
smooth_00008.png,no_pressure,0.05,122,0.002721,73.7833,0.999960,0.00000067,False,True,True,1.0219,True
smooth_00008.png,no_pressure,0.1,245,0.005249,70.9300,0.999923,0.00000176,False,True,True,1.0219,True
smooth_00008.png,no_pressure,0.2,491,0.010249,68.0241,0.999849,0.00000471,False,True,True,1.0219,True
smooth_00008.png,no_pressure,0.3,737,0.015244,66.2999,0.999776,0.00000904,False,True,True,1.0219,True
smooth_00008.png,no_pressure,0.4,982,0.020376,65.0397,0.999701,0.00001226,True,True,True,1.0219,True
smooth_00009.png,full_system,0.05,122,0.002518,74.1208,0.999963,0.00000072,False,True,True,1.0326,True
smooth_00009.png,full_system,0.1,245,0.005005,71.1369,0.999926,0.00000227,False,True,True,1.0326,True
smooth_00009.png,full_system,0.2,491,0.009903,68.1732,0.999854,0.00000359,False,True,True,1.0326,True
smooth_00009.png,full_system,0.3,737,0.014826,66.4204,0.999782,0.00000657,False,True,True,1.0326,True
smooth_00009.png,full_system,0.4,982,0.019979,65.1251,0.999706,0.00001004,True,True,True,1.0326,True
smooth_00009.png,entropy_only,0.05,122,0.002558,74.0511,0.999962,0.00000083,False,True,True,1.0000,True
smooth_00009.png,entropy_only,0.1,245,0.004974,71.1634,0.999927,0.00000188,False,True,True,1.0000,True
smooth_00009.png,entropy_only,0.2,491,0.009878,68.1843,0.999855,0.00000175,False,True,True,1.0000,True
smooth_00009.png,entropy_only,0.3,737,0.014852,66.4130,0.999781,0.00000315,False,True,True,1.0000,True
smooth_00009.png,entropy_only,0.4,982,0.019709,65.1841,0.999710,0.00000459,True,True,True,1.0000,True
smooth_00009.png,edge_only,0.05,122,0.002543,74.0771,0.999962,0.00000074,False,True,True,1.6506,True
smooth_00009.png,edge_only,0.1,245,0.005010,71.1325,0.999926,0.00000121,False,True,True,1.6506,True
smooth_00009.png,edge_only,0.2,491,0.010162,68.0609,0.999850,0.00000396,False,True,True,1.6506,True
smooth_00009.png,edge_only,0.3,737,0.015116,66.3363,0.999777,0.00000744,True,True,True,1.6506,True
smooth_00009.png,edge_only,0.4,982,0.020131,65.0921,0.999703,0.00001139,True,True,True,1.6506,True
smooth_00009.png,no_pressure,0.05,122,0.002518,74.1208,0.999963,0.00000072,False,True,True,1.0326,True
smooth_00009.png,no_pressure,0.1,245,0.005005,71.1369,0.999926,0.00000227,False,True,True,1.0326,True
smooth_00009.png,no_pressure,0.2,491,0.009903,68.1732,0.999854,0.00000359,False,True,True,1.0326,True
smooth_00009.png,no_pressure,0.3,737,0.014826,66.4204,0.999782,0.00000657,False,True,True,1.0326,True
smooth_00009.png,no_pressure,0.4,982,0.019979,65.1251,0.999706,0.00001004,True,True,True,1.0326,True
smooth_00010.png,full_system,0.05,122,0.002609,73.9656,0.999962,0.00000094,False,True,True,1.0002,True
smooth_00010.png,full_system,0.1,245,0.005147,71.0150,0.999925,0.00000185,False,True,True,1.0002,True
smooth_00010.png,full_system,0.2,491,0.010366,67.9748,0.999848,0.00000404,False,True,True,1.0002,True
smooth_00010.png,full_system,0.3,737,0.015294,66.2855,0.999776,0.00000580,True,True,True,1.0002,True
smooth_00010.png,full_system,0.4,982,0.020340,65.0473,0.999702,0.00000670,True,True,True,1.0002,True
smooth_00010.png,entropy_only,0.05,122,0.002609,73.9656,0.999962,0.00000094,False,True,True,1.0000,True
smooth_00010.png,entropy_only,0.1,245,0.005147,71.0150,0.999925,0.00000185,False,True,True,1.0000,True
smooth_00010.png,entropy_only,0.2,491,0.010366,67.9748,0.999848,0.00000404,False,True,True,1.0000,True
smooth_00010.png,entropy_only,0.3,737,0.015294,66.2855,0.999776,0.00000580,True,True,True,1.0000,True
smooth_00010.png,entropy_only,0.4,982,0.020315,65.0527,0.999702,0.00000770,True,True,True,1.0000,True
smooth_00010.png,edge_only,0.05,122,0.002660,73.8818,0.999961,0.00000139,False,True,True,1.4082,True
smooth_00010.png,edge_only,0.1,245,0.005157,71.0064,0.999924,0.00000177,False,True,True,1.4082,True
smooth_00010.png,edge_only,0.2,491,0.010254,68.0219,0.999850,0.00000402,False,True,True,1.4082,True
smooth_00010.png,edge_only,0.3,737,0.015081,66.3466,0.999779,0.00000729,True,True,True,1.4082,True
smooth_00010.png,edge_only,0.4,982,0.019847,65.1539,0.999709,0.00000868,True,True,True,1.4082,True
smooth_00010.png,no_pressure,0.05,122,0.002609,73.9656,0.999962,0.00000094,False,True,True,1.0002,True
smooth_00010.png,no_pressure,0.1,245,0.005147,71.0150,0.999925,0.00000185,False,True,True,1.0002,True
smooth_00010.png,no_pressure,0.2,491,0.010366,67.9748,0.999848,0.00000404,False,True,True,1.0002,True
smooth_00010.png,no_pressure,0.3,737,0.015294,66.2855,0.999776,0.00000580,True,True,True,1.0002,True
smooth_00010.png,no_pressure,0.4,982,0.020340,65.0473,0.999702,0.00000670,True,True,True,1.0002,True
smooth_00011.png,full_system,0.05,122,0.002701,73.8159,0.999961,0.00000172,True,True,True,1.0334,True
smooth_00011.png,full_system,0.1,245,0.005249,70.9300,0.999923,0.00000296,False,True,True,1.0334,True
smooth_00011.png,full_system,0.2,491,0.010183,68.0522,0.999851,0.00000563,False,True,True,1.0334,True
smooth_00011.png,full_system,0.3,737,0.015350,66.2696,0.999775,0.00000737,False,True,True,1.0334,True
smooth_00011.png,full_system,0.4,982,0.020152,65.0877,0.999705,0.00000972,True,True,True,1.0334,True
smooth_00011.png,entropy_only,0.05,122,0.002579,74.0167,0.999962,0.00000104,True,True,True,1.0000,True
smooth_00011.png,entropy_only,0.1,245,0.005061,71.0886,0.999926,0.00000179,False,True,True,1.0000,True
smooth_00011.png,entropy_only,0.2,491,0.010173,68.0565,0.999851,0.00000335,False,True,True,1.0000,True
smooth_00011.png,entropy_only,0.3,737,0.015233,66.3028,0.999777,0.00000414,False,True,True,1.0000,True
smooth_00011.png,entropy_only,0.4,982,0.020218,65.0734,0.999704,0.00000695,True,True,True,1.0000,True
smooth_00011.png,edge_only,0.05,122,0.002569,74.0339,0.999962,0.00000089,False,True,True,1.6541,True
smooth_00011.png,edge_only,0.1,245,0.005051,71.0973,0.999926,0.00000199,False,True,True,1.6541,True
smooth_00011.png,edge_only,0.2,491,0.010101,68.0870,0.999852,0.00000482,False,True,True,1.6541,True
smooth_00011.png,edge_only,0.3,737,0.015137,66.3305,0.999777,0.00000798,False,True,True,1.6541,True
smooth_00011.png,edge_only,0.4,982,0.020065,65.1063,0.999705,0.00001239,False,True,True,1.6541,True
smooth_00011.png,no_pressure,0.05,122,0.002701,73.8159,0.999961,0.00000172,True,True,True,1.0334,True
smooth_00011.png,no_pressure,0.1,245,0.005249,70.9300,0.999923,0.00000296,False,True,True,1.0334,True
smooth_00011.png,no_pressure,0.2,491,0.010183,68.0522,0.999851,0.00000563,False,True,True,1.0334,True
smooth_00011.png,no_pressure,0.3,737,0.015350,66.2696,0.999775,0.00000737,False,True,True,1.0334,True
smooth_00011.png,no_pressure,0.4,982,0.020152,65.0877,0.999705,0.00000972,True,True,True,1.0334,True
smooth_00012.png,full_system,0.05,122,0.002660,73.8818,0.999961,0.00000107,False,True,True,1.0211,True
smooth_00012.png,full_system,0.1,245,0.004979,71.1590,0.999927,0.00000220,False,True,True,1.0211,True
smooth_00012.png,full_system,0.2,491,0.009984,68.1376,0.999853,0.00000528,False,True,True,1.0211,True
smooth_00012.png,full_system,0.3,737,0.015101,66.3407,0.999778,0.00000907,True,True,True,1.0211,True
smooth_00012.png,full_system,0.4,982,0.020116,65.0954,0.999704,0.00001116,True,True,True,1.0211,True
smooth_00012.png,entropy_only,0.05,122,0.002670,73.8652,0.999961,0.00000079,False,True,True,1.0000,True
smooth_00012.png,entropy_only,0.1,245,0.005213,70.9596,0.999923,0.00000135,False,True,True,1.0000,True
smooth_00012.png,entropy_only,0.2,491,0.010127,68.0761,0.999851,0.00000344,True,True,True,1.0000,True
smooth_00012.png,entropy_only,0.3,737,0.015157,66.3247,0.999777,0.00000580,True,True,True,1.0000,True
smooth_00012.png,entropy_only,0.4,982,0.020187,65.0800,0.999703,0.00000914,True,True,True,1.0000,True
smooth_00012.png,edge_only,0.05,122,0.002604,73.9741,0.999962,0.00000056,False,True,True,1.6552,True
smooth_00012.png,edge_only,0.1,245,0.005168,70.9979,0.999924,0.00000148,False,True,True,1.6552,True
smooth_00012.png,edge_only,0.2,491,0.010157,68.0630,0.999850,0.00000275,True,True,True,1.6552,True
