image_idx,entropy_mae,entropy_max_diff,entropy_rmse,edge_mae,edge_max_diff,edge_rmse,entropy_mae_nostrip,entropy_max_diff_nostrip,edge_mae_nostrip,edge_max_diff_nostrip,depth_mae,pct_pixels_differ,n_pixels,depth_diff_histogram,mean_cover_depth,mean_stego_depth,depth_mae_noise_0.001,pct_differ_noise_0.001,depth_mae_noise_0.005,pct_differ_noise_0.005,depth_mae_noise_0.01,pct_differ_noise_0.01,bpp
180,0.0,0.0,0.0,0.0,0.0,0.0,0.003989345321723521,0.20990934314377963,5.815250676346856e-05,0.0034230066915386242,0.0,0.0,65536,{0: 65536},1.28985595703125,1.28985595703125,0.0054473876953125,0.54473876953125,0.009063720703125,0.9063720703125,0.0137176513671875,1.37176513671875,0.1
181,0.0,0.0,0.0,0.0,0.0,0.0,0.003452411188360236,0.2322635103542099,6.242584470378813e-05,0.0035098057737391886,0.0,0.0,65536,{0: 65536},1.313507080078125,1.313507080078125,0.0072784423828125,0.72784423828125,0.01318359375,1.318359375,0.01922607421875,1.922607421875,0.1
182,0.0,0.0,0.0,0.0,0.0,0.0,0.00318700741948611,0.16404886999144885,6.758576099007527e-05,0.003990246997725912,0.0,0.0,65536,{0: 65536},1.272064208984375,1.272064208984375,0.00897216796875,0.897216796875,0.0122222900390625,1.22222900390625,0.0175933837890625,1.75933837890625,0.1
183,0.0,0.0,0.0,0.0,0.0,0.0,0.0035008593472997365,0.20759862559919684,5.36099538377988e-05,0.003132968784611001,0.0,0.0,65536,{0: 65536},1.241546630859375,1.241546630859375,0.0062103271484375,0.62103271484375,0.0117034912109375,1.17034912109375,0.0166473388671875,1.66473388671875,0.1
184,0.0,0.0,0.0,0.0,0.0,0.0,0.004530591442713183,0.22027106391316087,6.187617993557592e-05,0.0049212079307809995,0.0,0.0,65536,{0: 65536},1.1543426513671875,1.1543426513671875,0.002685546875,0.2685546875,0.005126953125,0.5126953125,0.007659912109375,0.7659912109375,0.1
185,0.0,0.0,0.0,0.0,0.0,0.0,0.00377996804992933,0.2051934643889144,5.8734018336094196e-05,0.003601178781665132,0.0,0.0,65536,{0: 65536},1.29296875,1.29296875,0.005035400390625,0.5035400390625,0.0098419189453125,0.98419189453125,0.0154571533203125,1.54571533203125,0.1
186,0.0,0.0,0.0,0.0,0.0,0.0,0.0035427259396099892,0.18070924433210855,0.0007846950188078422,0.005029667129409554,0.0,0.0,65536,{0: 65536},1.6645355224609375,1.6645355224609375,0.0086822509765625,0.86822509765625,0.0156402587890625,1.56402587890625,0.0232391357421875,2.32391357421875,0.1
187,0.0,0.0,0.0,0.0,0.0,0.0,0.003123526696454977,0.17342127751619563,6.202830312050887e-05,0.003651347402275911,0.0,0.0,65536,{0: 65536},1.2864532470703125,1.2864532470703125,0.007354736328125,0.7354736328125,0.0134429931640625,1.34429931640625,0.0198822021484375,1.98822021484375,0.1
188,0.0,0.0,0.0,0.0,0.0,0.0,0.0038693747466379694,0.1812961095332244,5.576629842374313e-05,0.004247038649245677,0.0,0.0,65536,{0: 65536},1.287200927734375,1.287200927734375,0.0055084228515625,0.55084228515625,0.0108642578125,1.08642578125,0.01556396484375,1.556396484375,0.1
189,0.0,0.0,0.0,0.0,0.0,0.0,0.0038529946753204864,0.15063085729299064,5.594802569479611e-05,0.0035020427234591367,0.0,0.0,65536,{0: 65536},1.3902740478515625,1.3902740478515625,0.0056610107421875,0.56610107421875,0.010894775390625,1.0894775390625,0.015869140625,1.5869140625,0.1
190,0.0,0.0,0.0,0.0,0.0,0.0,0.005525125443349326,0.31837832897062235,9.180647218715897e-05,0.006520710586595334,0.0,0.0,65536,{0: 65536},1.028839111328125,1.028839111328125,0.0037384033203125,0.37384033203125,0.0070648193359375,0.70648193359375,0.01220703125,1.220703125,0.1
191,0.0,0.0,0.0,0.0,0.0,0.0,0.0036682735749685815,0.15805303669637683,6.068464128166923e-05,0.003422912790252662,0.0,0.0,65536,{0: 65536},1.2708282470703125,1.2708282470703125,0.0061798095703125,0.61798095703125,0.010040283203125,1.0040283203125,0.0152435302734375,1.52435302734375,0.1
192,0.0,0.0,0.0,0.0,0.0,0.0,0.004001577453687788,0.2142752306180803,6.815001768464053e-05,0.0036725610421719217,0.0,0.0,65536,{0: 65536},1.240631103515625,1.240631103515625,0.0047149658203125,0.47149658203125,0.0089874267578125,0.89874267578125,0.0137176513671875,1.37176513671875,0.1
193,0.0,0.0,0.0,0.0,0.0,0.0,0.00398078872671403,0.14733226426272727,6.731452782422564e-05,0.00367089286954845,0.0,0.0,65536,{0: 65536},1.3144073486328125,1.3144073486328125,0.0078582763671875,0.78582763671875,0.01556396484375,1.556396484375,0.023040771484375,2.3040771484375,0.1
194,0.0,0.0,0.0,0.0,0.0,0.0,0.0035939619487534665,0.18977265924177145,5.343545776922972e-05,0.0031186109556883054,0.0,0.0,65536,{0: 65536},1.2577667236328125,1.2577667236328125,0.0063629150390625,0.63629150390625,0.0104827880859375,1.04827880859375,0.0150299072265625,1.50299072265625,0.1
195,0.0,0.0,0.0,0.0,0.0,0.0,0.0036867720649292972,0.3549808608650422,5.730358732387818e-05,0.0042959239483430015,0.0,0.0,65536,{0: 65536},1.249053955078125,1.249053955078125,0.0097503662109375,0.97503662109375,0.0147705078125,1.47705078125,0.018218994140625,1.8218994140625,0.1
196,0.0,0.0,0.0,0.0,0.0,0.0,0.003202310378208521,0.15355964881692774,5.629784150691823e-05,0.0031290328662916256,0.0,0.0,65536,{0: 65536},1.3418731689453125,1.3418731689453125,0.0060577392578125,0.60577392578125,0.0115966796875,1.15966796875,0.0171966552734375,1.71966552734375,0.1
197,0.0,0.0,0.0,0.0,0.0,0.0,0.0026434027739816075,0.15355964881692774,5.2614943862978025e-05,0.0031470076616587923,0.0,0.0,65536,{0: 65536},1.275726318359375,1.275726318359375,0.00360107421875,0.360107421875,0.006500244140625,0.6500244140625,0.010162353515625,1.0162353515625,0.1
198,0.0,0.0,0.0,0.0,0.0,0.0,0.00397575469572523,0.19815318254176928,6.359173560013257e-05,0.003443917416594361,0.0,0.0,65536,{0: 65536},1.2598724365234375,1.2598724365234375,0.0086517333984375,0.86517333984375,0.0149688720703125,1.49688720703125,0.0203094482421875,2.03094482421875,0.1
199,0.0,0.0,0.0,0.0,0.0,0.0,0.004360449956004904,0.17749043043252133,6.5616766815446e-05,0.0037261418170187605,0.0,0.0,65536,{0: 65536},1.237579345703125,1.237579345703125,0.00457763671875,0.457763671875,0.009857177734375,0.9857177734375,0.0155487060546875,1.55487060546875,0.1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.009033264866280658,0.4027814607481187,0.00011968936119327331,0.0036485611735109147,0.0,0.0,65536,{0: 65536},1.3083648681640625,1.3083648681640625,0.0051116943359375,0.51116943359375,0.0090484619140625,0.90484619140625,0.013916015625,1.3916015625,0.2
1,0.0,0.0,0.0,0.0,0.0,0.0,0.007400882654946736,0.2099093431437824,0.0001095133480586357,0.0033443606870956766,0.0,0.0,65536,{0: 65536},1.3643798828125,1.3643798828125,0.0063018798828125,0.63018798828125,0.011016845703125,1.1016845703125,0.0168304443359375,1.68304443359375,0.2
2,0.0,0.0,0.0,0.0,0.0,0.0,0.006236457579235437,0.2099093431437864,0.00012249498041536533,0.003681040893454491,0.0,0.0,65536,{0: 65536},1.1669921875,1.1669921875,0.0024566650390625,0.24566650390625,0.0043182373046875,0.43182373046875,0.0066070556640625,0.66070556640625,0.2
